Drug_Name,URL
A-Methapred (Methylprednisolone Sodium Succinate),https://www.rxlist.com/a-methapred-drug.htm
Abacavir and Lamivudine Film-coated Tablets (Kivexa),https://www.rxlist.com/kivexa-drug.htm
Abacavir Sulfate (Ziagen),https://www.rxlist.com/ziagen-drug.htm
Abacavir Sulfate and Lamivudine Tablets (Epzicom),https://www.rxlist.com/epzicom-drug.htm
"Abacavir Sulfate, Lamivudine, and Zidovudine (Trizivir)",https://www.rxlist.com/trizivir-drug.htm
"Abacavir, Dolutegravir, and Lamivudine Film-coated Tablets (Triumeq)",https://www.rxlist.com/triumeq-drug.htm
Abaloparatide Injection (Tymlos),https://www.rxlist.com/tymlos-drug.htm
Abametapir Lotion (Xeglyze),https://www.rxlist.com/xeglyze-drug.htm
Abarelix (Plenaxis),https://www.rxlist.com/plenaxis-drug.htm
Abatacept (Orencia),https://www.rxlist.com/orencia-drug.htm
Abciximab (ReoPro),https://www.rxlist.com/reopro-drug.htm
Abecma (Idecabtagene Vicleucel Suspension),https://www.rxlist.com/abecma-drug.htm
Abelcet (Amphotericin B Injection),https://www.rxlist.com/abelcet-drug.htm
Abemaciclib Tablets (Verzenio),https://www.rxlist.com/verzenio-drug.htm
Abilify (Aripiprazole),https://www.rxlist.com/abilify-drug.htm
Abilify Asimtufii (Aripiprazole for Extended-release Injectable Suspension),https://www.rxlist.com/abilify-asimtufii-drug.htm
Abilify Maintena (Aripiprazole Extended-Release Injectable Suspension),https://www.rxlist.com/abilify-maintena-drug.htm
Abilify MyCite (Aripiprazole Tablets with Sensor),https://www.rxlist.com/abilify-mycite-drug.htm
Abiraterone Acetate Tablets (Zytiga),https://www.rxlist.com/zytiga-drug.htm
Abiraterone Acetate Tablets (Yonsa),https://www.rxlist.com/yonsa-drug.htm
Ablavar (Gadofosveset Trisodium Injection),https://www.rxlist.com/ablavar-drug.htm
Ablysinol (Dehydrated Alcohol),https://www.rxlist.com/ablysinol-drug.htm
Abobotulinumtoxin A Injection (Dysport),https://www.rxlist.com/dysport-drug.htm
Abraxane (Albumin-bound Paclitaxel for Injectable Suspension),https://www.rxlist.com/abraxane-drug.htm
Abreva (Docosanol Cream),https://www.rxlist.com/abreva-drug.htm
"Abrilada (Adalimumab-afzb Injection, for Subcutaneous Use)",https://www.rxlist.com/abrilada-drug.htm
Abrocitinib Tablets (Cibinqo),https://www.rxlist.com/cibinqo-drug.htm
Abrysvo (Respiratory Syncytial Virus Vaccine for Injection),https://www.rxlist.com/abrysvo-drug.htm
"Absorbable Gelatin Compressed Sponge, USP (Gelfoam Compressed Sponge)",https://www.rxlist.com/gelfoam-compressed-sponge-drug.htm
Absorbable Gelatin Dental Sponge  (Gelfoam Dental Sponge),https://www.rxlist.com/gelfoam-dental-sponge-drug.htm
Absorbable Gelatin Powder (Gelfoam),https://www.rxlist.com/gelfoam-drug.htm
"Absorbable Gelatin Sponge, USP (Gelfoam Sponge)",https://www.rxlist.com/gelfoam-sponge-drug.htm
Absorbable Gelatin Sterile Ophthalmic Film (Gelfilm ),https://www.rxlist.com/gelfilm-drug.htm
Absorica (Isotretinoin),https://www.rxlist.com/absorica-drug.htm
Absorica LD (Isotretinoin Capsules),https://www.rxlist.com/absorica-ld-drug.htm
Abstral (Fentanyl Sublingual Tablets),https://www.rxlist.com/abstral-drug.htm
Acalabrutinib Capsules (Calquence),https://www.rxlist.com/calquence-drug.htm
"ACAM2000 (Smallpox (Vaccinia) Vaccine, Live)",https://www.rxlist.com/acam2000-drug.htm
Acamprosate Calcium (Campral),https://www.rxlist.com/campral-drug.htm
Acanya Gel (Clindamycin Phosphate 1.2% and Benzoyl Peroxide 2.5%),https://www.rxlist.com/acanya-drug.htm
Acarbose (Precose),https://www.rxlist.com/precose-drug.htm
Accolate (Zafirlukast),https://www.rxlist.com/accolate-drug.htm
Accretropin (Somatropin Injection),https://www.rxlist.com/accretropin-drug.htm
Accrufer (Ferric Maltol Capsules),https://www.rxlist.com/accrufer-drug.htm
AccuNeb (Albuterol Sulfate Inhalation Solution),https://www.rxlist.com/accuneb-drug.htm
Accupril (Quinapril Hydrochloride),https://www.rxlist.com/accupril-drug.htm
Accuretic (Quinapril HCl/Hydrochlorothiazide),https://www.rxlist.com/accuretic-drug.htm
Accutane (Isotretinoin),https://www.rxlist.com/accutane-drug.htm
Accuzyme (Papain and Urea),https://www.rxlist.com/accuzyme-drug.htm
Acebutolol (Sectral),https://www.rxlist.com/sectral-drug.htm
"Aceclofenac Tablet, Film Coated (Clanza CR)",https://www.rxlist.com/clanza-cr-drug.htm
Aceon (Perindopril Erbumine),https://www.rxlist.com/aceon-drug.htm
Acephen (Acetaminophen Suppositories),https://www.rxlist.com/acephen-drug.htm
Acetadote (Acetylcysteine Injection),https://www.rxlist.com/acetadote-drug.htm
Acetaminophen (Tylenol),https://www.rxlist.com/tylenol-drug.htm
Acetaminophen and Codeine (Tylenol-Codeine),https://www.rxlist.com/tylenol-codeine-drug.htm
Acetaminophen and Ibuprofen Injection (Combogesic IV),https://www.rxlist.com/combogesic-iv-drug.htm
Acetaminophen and Ibuprofen Tablets (Combogesic),https://www.rxlist.com/combogesic-drug.htm
Acetaminophen for Injection (Ofirmev),https://www.rxlist.com/ofirmev-drug.htm
Acetaminophen Suppositories (Acephen),https://www.rxlist.com/acephen-drug.htm
