INDEX,Drug_Name,URL
0,A-Methapred (Methylprednisolone Sodium Succinate),https://www.rxlist.com/a-methapred-drug.htm
1,Abacavir and Lamivudine Film-coated Tablets (Kivexa),https://www.rxlist.com/kivexa-drug.htm
2,Abacavir Sulfate (Ziagen),https://www.rxlist.com/ziagen-drug.htm
3,Abacavir Sulfate and Lamivudine Tablets (Epzicom),https://www.rxlist.com/epzicom-drug.htm
4,"Abacavir Sulfate, Lamivudine, and Zidovudine (Trizivir)",https://www.rxlist.com/trizivir-drug.htm
5,"Abacavir, Dolutegravir, and Lamivudine Film-coated Tablets (Triumeq)",https://www.rxlist.com/triumeq-drug.htm
6,Abaloparatide Injection (Tymlos),https://www.rxlist.com/tymlos-drug.htm
7,Abametapir Lotion (Xeglyze),https://www.rxlist.com/xeglyze-drug.htm
8,Abarelix (Plenaxis),https://www.rxlist.com/plenaxis-drug.htm
9,Abatacept (Orencia),https://www.rxlist.com/orencia-drug.htm
10,Abciximab (ReoPro),https://www.rxlist.com/reopro-drug.htm
11,Abecma (Idecabtagene Vicleucel Suspension),https://www.rxlist.com/abecma-drug.htm
12,Abelcet (Amphotericin B Injection),https://www.rxlist.com/abelcet-drug.htm
13,Abemaciclib Tablets (Verzenio),https://www.rxlist.com/verzenio-drug.htm
14,Abilify (Aripiprazole),https://www.rxlist.com/abilify-drug.htm
15,Abilify Asimtufii (Aripiprazole for Extended-release Injectable Suspension),https://www.rxlist.com/abilify-asimtufii-drug.htm
16,Abilify Maintena (Aripiprazole Extended-Release Injectable Suspension),https://www.rxlist.com/abilify-maintena-drug.htm
17,Abilify MyCite (Aripiprazole Tablets with Sensor),https://www.rxlist.com/abilify-mycite-drug.htm
18,Abiraterone Acetate Tablets (Zytiga),https://www.rxlist.com/zytiga-drug.htm
19,Abiraterone Acetate Tablets (Yonsa),https://www.rxlist.com/yonsa-drug.htm
20,Ablavar (Gadofosveset Trisodium Injection),https://www.rxlist.com/ablavar-drug.htm
21,Ablysinol (Dehydrated Alcohol),https://www.rxlist.com/ablysinol-drug.htm
22,Abobotulinumtoxin A Injection (Dysport),https://www.rxlist.com/dysport-drug.htm
23,Abraxane (Albumin-bound Paclitaxel for Injectable Suspension),https://www.rxlist.com/abraxane-drug.htm
24,Abreva (Docosanol Cream),https://www.rxlist.com/abreva-drug.htm
25,"Abrilada (Adalimumab-afzb Injection, for Subcutaneous Use)",https://www.rxlist.com/abrilada-drug.htm
26,Abrocitinib Tablets (Cibinqo),https://www.rxlist.com/cibinqo-drug.htm
27,Abrysvo (Respiratory Syncytial Virus Vaccine for Injection),https://www.rxlist.com/abrysvo-drug.htm
28,"Absorbable Gelatin Compressed Sponge, USP (Gelfoam Compressed Sponge)",https://www.rxlist.com/gelfoam-compressed-sponge-drug.htm
29,Absorbable Gelatin Dental Sponge  (Gelfoam Dental Sponge),https://www.rxlist.com/gelfoam-dental-sponge-drug.htm
30,Absorbable Gelatin Powder (Gelfoam),https://www.rxlist.com/gelfoam-drug.htm
31,"Absorbable Gelatin Sponge, USP (Gelfoam Sponge)",https://www.rxlist.com/gelfoam-sponge-drug.htm
32,Absorbable Gelatin Sterile Ophthalmic Film (Gelfilm ),https://www.rxlist.com/gelfilm-drug.htm
33,Absorica (Isotretinoin),https://www.rxlist.com/absorica-drug.htm
34,Absorica LD (Isotretinoin Capsules),https://www.rxlist.com/absorica-ld-drug.htm
35,Abstral (Fentanyl Sublingual Tablets),https://www.rxlist.com/abstral-drug.htm
36,Acalabrutinib Capsules (Calquence),https://www.rxlist.com/calquence-drug.htm
37,"ACAM2000 (Smallpox (Vaccinia) Vaccine, Live)",https://www.rxlist.com/acam2000-drug.htm
38,Acamprosate Calcium (Campral),https://www.rxlist.com/campral-drug.htm
39,Acanya Gel (Clindamycin Phosphate 1.2% and Benzoyl Peroxide 2.5%),https://www.rxlist.com/acanya-drug.htm
40,Acarbose (Precose),https://www.rxlist.com/precose-drug.htm
41,Accolate (Zafirlukast),https://www.rxlist.com/accolate-drug.htm
42,Accretropin (Somatropin Injection),https://www.rxlist.com/accretropin-drug.htm
43,Accrufer (Ferric Maltol Capsules),https://www.rxlist.com/accrufer-drug.htm
44,AccuNeb (Albuterol Sulfate Inhalation Solution),https://www.rxlist.com/accuneb-drug.htm
45,Accupril (Quinapril Hydrochloride),https://www.rxlist.com/accupril-drug.htm
46,Accuretic (Quinapril HCl/Hydrochlorothiazide),https://www.rxlist.com/accuretic-drug.htm
47,Accutane (Isotretinoin),https://www.rxlist.com/accutane-drug.htm
48,Accuzyme (Papain and Urea),https://www.rxlist.com/accuzyme-drug.htm
49,Acebutolol (Sectral),https://www.rxlist.com/sectral-drug.htm
50,"Aceclofenac Tablet, Film Coated (Clanza CR)",https://www.rxlist.com/clanza-cr-drug.htm
51,Aceon (Perindopril Erbumine),https://www.rxlist.com/aceon-drug.htm
52,Acephen (Acetaminophen Suppositories),https://www.rxlist.com/acephen-drug.htm
53,Acetadote (Acetylcysteine Injection),https://www.rxlist.com/acetadote-drug.htm
54,Acetaminophen (Tylenol),https://www.rxlist.com/tylenol-drug.htm
55,Acetaminophen and Codeine (Tylenol-Codeine),https://www.rxlist.com/tylenol-codeine-drug.htm
56,Acetaminophen and Ibuprofen Injection (Combogesic IV),https://www.rxlist.com/combogesic-iv-drug.htm
57,Acetaminophen and Ibuprofen Tablets (Combogesic),https://www.rxlist.com/combogesic-drug.htm
58,Acetaminophen for Injection (Ofirmev),https://www.rxlist.com/ofirmev-drug.htm
59,Acetaminophen Suppositories (Acephen),https://www.rxlist.com/acephen-drug.htm
60,"Acetaminophen, Caffeine and Dihydrocodeine Bitartrate (Trezix Capsules)",https://www.rxlist.com/trezix-drug.htm
61,"Acetaminophen, Isometheptene and Dichloralphenazone (Midrin)",https://www.rxlist.com/midrin-drug.htm
62,Acetazolamide Injection (Acetazolamide Injection),https://www.rxlist.com/acetazolamide-injection-drug.htm
63,Acetazolamide Tablets (Acetazolamide Tablets),https://www.rxlist.com/acetazolamide-drug.htm
64,Acetazolamide Tablets and Injection (Diamox Tablets and Injection),https://www.rxlist.com/diamox-tablets-and-injection-drug.htm
65,Acetazolamide XR (Diamox Sequels),https://www.rxlist.com/diamox-sequels-drug.htm
66,Acetic Acid (Acetic Acid),https://www.rxlist.com/acetic-acid-drug.htm
67,Acetohydroxamic Acid Tablets (Lithostat),https://www.rxlist.com/lithostat-drug.htm
68,Acetyl Sulfisoxazole Pediatric Suspension (Gantrisin),https://www.rxlist.com/gantrisin-drug.htm
69,Acetylcholine Chloride Intraocular Solution (Miochol-E),https://www.rxlist.com/miochol-e-drug.htm
70,Acetylcysteine Effervescent Tablets for Oral Solution (Cetylev),https://www.rxlist.com/cetylev-drug.htm
